hour,day_of_week,month,rush_intensity,time_of_day,season,day_type,traffic_volume,avg_speed,travel_time,vol_speed_ratio,temp_celsius,rain_1h,snow_1h,clouds_all,weather_encoded,bad_weather,congestion_level
9,4,2,2,0,0,2,5545,36.0,45.8,149.865,15.13,0.0,0.0,40,1,0,2
10,4,2,1,0,0,2,4516,44.4,43.4,99.471,16.21,0.0,0.0,75,1,0,2
11,4,2,1,0,0,2,4767,44.3,42.5,105.232,16.43,0.0,0.0,90,1,0,2
12,4,2,0,1,0,2,5026,44.3,42.4,110.949,16.98,0.0,0.0,90,1,0,2
13,4,2,0,1,0,2,4918,40.1,44.1,119.659,17.99,0.0,0.0,75,1,0,2
14,4,2,1,1,0,2,5181,37.5,39.4,134.571,18.57,0.0,0.0,1,0,0,2
15,4,2,1,1,0,2,5584,38.9,46.7,139.95,20.02,0.0,0.0,1,0,0,2
16,4,2,2,1,0,2,6015,32.2,49.2,181.175,20.71,0.0,0.0,1,0,0,2
17,4,2,2,2,0,2,5791,30.7,49.6,182.681,20.99,0.0,0.0,20,1,0,2
18,4,2,2,2,0,2,4770,43.9,44.9,106.236,19.95,0.0,0.0,20,1,0,2
19,4,2,0,2,0,2,3539,53.2,38.5,65.295,17.82,0.0,0.0,20,1,0,1
20,4,2,0,2,0,2,2784,60.8,35.7,45.049,16.23,0.0,0.0,1,0,0,1
21,4,2,0,3,0,2,2361,67.1,31.5,34.67,15.46,0.0,0.0,1,0,0,0
22,4,2,0,3,0,2,1529,69.0,24.7,21.843,14.01,0.0,0.0,1,0,0,0
23,4,2,0,3,0,2,963,75.2,24.9,12.638,12.3,0.0,0.0,1,0,0,0
0,5,3,0,3,1,2,506,83.3,20.8,6.002,11.48,0.0,0.0,1,0,0,0
1,5,3,0,3,1,2,321,83.8,18.9,3.785,10.32,0.0,0.0,1,0,0,0
2,5,3,0,3,1,2,273,88.2,22.5,3.061,8.03,0.0,0.0,1,0,0,0
3,5,3,0,3,1,2,367,83.6,19.0,4.338,7.94,0.0,0.0,1,0,0,0
4,5,3,0,3,1,2,814,77.6,25.4,10.356,6.38,0.0,0.0,1,0,0,0
5,5,3,0,0,1,2,2718,67.2,31.0,39.853,5.47,0.0,0.0,1,0,0,1
6,5,3,0,0,1,2,5673,32.6,47.8,168.839,5.08,0.0,0.0,1,0,0,2
8,5,3,2,0,1,2,6511,25.1,51.4,249.464,4.97,0.0,0.0,1,0,0,2
9,5,3,2,0,1,2,5471,31.0,49.6,170.969,9.33,0.0,0.0,1,0,0,2
12,5,3,0,1,1,2,5097,37.4,46.7,132.734,18.82,0.0,0.0,1,0,0,2
13,5,3,0,1,1,2,4887,41.5,42.8,114.988,20.08,0.0,0.0,1,0,0,2
14,5,3,1,1,1,2,5337,33.2,46.4,156.053,21.16,0.0,0.0,1,0,0,2
15,5,3,1,1,1,2,5692,34.2,51.1,161.705,22.02,0.0,0.0,1,0,0,2
16,5,3,2,1,1,2,6137,26.8,53.7,220.755,21.98,0.0,0.0,1,0,0,2
18,5,3,2,2,1,2,4623,42.9,40.4,105.308,20.51,0.0,0.0,20,1,0,2
19,5,3,0,2,1,2,3591,52.3,40.6,67.373,17.5,0.0,0.0,20,1,0,1
20,5,3,0,2,1,2,2898,66.6,37.0,42.87,15.04,0.0,0.0,20,1,0,1
21,5,3,0,3,1,2,2637,63.6,33.5,40.82,13.95,0.0,0.0,1,0,0,1
22,5,3,0,3,1,2,1777,69.1,28.7,25.35,13.1,0.0,0.0,1,0,0,0
23,5,3,0,3,1,2,1015,82.3,24.0,12.185,12.11,0.0,0.0,1,0,0,0
0,1,4,0,3,1,2,598,80.4,20.5,7.346,11.4,0.0,0.0,1,0,0,0
1,1,4,0,3,1,2,369,86.9,22.5,4.198,10.32,0.0,0.0,1,0,0,0
